player,position,team,is_active,year_signed,years,value,apy,player_page,otc_id,height,weight,college,draft_year,draft_round,draft_overall,draft_team
Leonard Floyd,ED,Rams,TRUE,2021,4,64000000,16000000,https://overthecap.com/player/leonard-floyd/4722/,4722,"6'6""",244,Georgia,2016,1,9,Bears
Arik Armstead,ED,49ers,TRUE,2020,5,85000000,17000000,https://overthecap.com/player/arik-armstead/3865/,3865,"6'7""",292,Oregon,2015,1,17,NA
Harold Landry,ED,Titans,TRUE,2022,5,87500000,17500000,https://overthecap.com/player/harold-landry/6926/,6926,"6'3""",250,Boston College,2018,2,41,Titans
Trey Hendrickson,ED,Bengals,TRUE,2021,4,60000000,15000000,https://overthecap.com/player/trey-hendrickson/5689/,5689,"6'4""",266,Florida Atlantic,2017,3,103,Saints
Carl Lawson,ED,Jets,TRUE,2021,3,45000000,15000000,https://overthecap.com/player/carl-lawson/5702/,5702,"6'2""",261,Auburn,2017,4,116,Bengals
Chandler Jones,ED,Raiders,TRUE,2022,3,51000000,17000000,https://overthecap.com/player/chandler-jones/1206/,1206,"6'5""",265,Syracuse,2012,1,21,Patriots
Danielle Hunter,ED,Vikings,TRUE,2018,5,72000000,14400000,https://overthecap.com/player/danielle-hunter/3936/,3936,"6'5""",252,LSU,2015,3,88,Vikings
Emmanuel Ogbah,ED,Dolphins,TRUE,2022,4,65400000,16350000,https://overthecap.com/player/emmanuel-ogbah/4745/,4745,"6'4""",273,Oklahoma State,2016,2,32,Browns
John Franklin-Myers,ED,Jets,TRUE,2021,4,55000000,13750000,https://overthecap.com/player/john-franklin-myers/7020/,7020,"6'4""",292,Stephen F. Austin,2018,4,135,Rams
Matt Judon,ED,Patriots,TRUE,2021,4,54500000,13625000,https://overthecap.com/player/matt-judon/4859/,4859,"6'3""",275,Grand Valley State,2016,5,146,Ravens
Josh Sweat,ED,Eagles,TRUE,2021,3,40000000,13333333,https://overthecap.com/player/josh-sweat/7015/,7015,"6'5""",250,Florida State,2018,4,130,Eagles
Haason Reddick,ED,Eagles,TRUE,2022,3,45000000,15000000,https://overthecap.com/player/haason-reddick/5597/,5597,"6'1""",237,Temple,2017,1,13,Cardinals
Yannick Ngakoue,ED,IND/LV,TRUE,2021,2,26000000,13000000,https://overthecap.com/player/yannick-ngakoue/4782/,4782,"6'2""",252,Maryland,2016,3,69,Jaguars
Robert Quinn,ED,Bears,TRUE,2020,5,70000000,14000000,https://overthecap.com/player/robert-quinn/1343/,1343,"6'4""",264,North Carolina,2011,1,14,Rams
Frank Clark,ED,Chiefs,TRUE,2022,2,29000000,14500000,https://overthecap.com/player/frank-clark/3911/,3911,"6'3""",271,Michigan,2015,2,63,Seahawks
Romeo Okwara,ED,Lions,TRUE,2021,3,37000000,12333333,https://overthecap.com/player/romeo-okwara/5296/,5296,"6'5""",265,Notre Dame,2016,NA,NA,Giants
Za'Darius Smith,ED,Vikings,TRUE,2022,3,42000000,14000000,https://overthecap.com/player/zadarius-smith/3970/,3970,"6'6""",263,Kentucky,2015,4,122,Ravens
Randy Gregory,ED,Broncos,TRUE,2022,5,69500000,13900000,https://overthecap.com/player/randy-gregory/3908/,3908,"6'5""",235,Nebraska,2015,2,60,Cowboys
Demarcus Lawrence,ED,Cowboys,TRUE,2022,3,40000000,13333333,https://overthecap.com/player/demarcus-lawrence/2973/,2973,"6'3""",251,Boise State,2014,2,34,Cowboys
Preston Smith,ED,Packers,TRUE,2022,4,52000000,13000000,https://overthecap.com/player/preston-smith/3886/,3886,"6'5""",271,Mississippi State,2015,2,38,Commanders
Sam Hubbard,ED,Bengals,TRUE,2021,4,40000000,10000000,https://overthecap.com/player/sam-hubbard/6962/,6962,"6'5""",265,Ohio State,2018,3,77,Bengals
Brandon Graham,ED,Eagles,TRUE,2021,2,18500000,9250000,https://overthecap.com/player/brandon-graham/725/,725,"6'2""",265,Michigan,2010,1,13,Eagles
Jadeveon Clowney,ED,Browns,TRUE,2022,1,10000000,10000000,https://overthecap.com/player/jadeveon-clowney/2940/,2940,"6'6""",274,South Carolina,2014,1,1,Texans
Uchenna Nwosu,ED,Seahawks,TRUE,2022,2,19055000,9527500,https://overthecap.com/player/uchenna-nwosu/6933/,6933,"6'2""",240,USC,2018,2,48,Chargers
Travon Walker,ED,Jaguars,TRUE,2022,4,37372624,9343156,https://overthecap.com/player/travon-walker/10046/,10046,"6'5""",272,Georgia,2022,1,1,Jaguars
Nick Bosa,ED,49ers,TRUE,2019,4,33551866,8387967,https://overthecap.com/player/nick-bosa/7793/,7793,"6'4""",263,Ohio State,2019,1,2,NA
Chase Young,ED,Commanders,TRUE,2020,4,34563598,8640900,https://overthecap.com/player/chase-young/8742/,8742,"6'5""",265,Ohio State,2020,1,2,Commanders
Aidan Hutchinson,ED,Lions,TRUE,2022,4,35715388,8928847,https://overthecap.com/player/aidan-hutchinson/10047/,10047,"6'6""",268,Michigan,2022,1,2,Lions
Clelin Ferrell,ED,Raiders,TRUE,2019,4,31360816,7840204,https://overthecap.com/player/clelin-ferrell/7795/,7795,"6'5""",260,Clemson,2019,1,4,Raiders
Bradley Chubb,ED,Broncos,TRUE,2018,4,27271240,6817810,https://overthecap.com/player/bradley-chubb/6890/,6890,"6'4""",269,North Carolina State,2018,1,5,Broncos
Dee Ford,ED,49ers,TRUE,2021,2,14000000,7000000,https://overthecap.com/player/dee-ford/2962/,2962,"6'2""",252,Auburn,2014,1,23,Chiefs
Kayvon Thibodeaux,ED,Giants,TRUE,2022,4,31339040,7834760,https://overthecap.com/player/kayvon-thibodeaux/10050/,10050,"6'4""",256,Oregon,2022,1,5,Giants
Derek Barnett,ED,Eagles,TRUE,2022,2,14000000,7000000,https://overthecap.com/player/derek-barnett/5598/,5598,"6'3""",259,Tennessee,2017,1,14,Eagles
Samson Ebukam,ED,49ers,TRUE,2021,2,12000000,6000000,https://overthecap.com/player/samson-ebukam/5711/,5711,"6'3""",240,Eastern Washington,2017,4,125,Rams
Charles Harris,ED,Lions,TRUE,2022,2,13000000,6500000,https://overthecap.com/player/charles-harris/5606/,5606,"6'3""",253,Missouri,2017,1,22,Dolphins
Josh Allen,ED,Jaguars,TRUE,2019,4,22742636,5685659,https://overthecap.com/player/josh-allen/7798/,7798,"6'5""",252,Kentucky,2019,1,7,Jaguars
Deatrich Wise,ED,Patriots,TRUE,2021,4,22000000,5500000,https://overthecap.com/player/deatrich-wise/5717/,5717,"6'5""",274,Arkansas,2017,4,131,Patriots
Tyus Bowser,ED,Ravens,TRUE,2021,4,22000000,5500000,https://overthecap.com/player/tyus-bowser/5633/,5633,"6'3""",247,Houston,2017,2,47,Ravens
Dawuane Smoot,ED,Jaguars,TRUE,2021,2,10000000,5000000,https://overthecap.com/player/dawuane-smoot/5654/,5654,"6'3""",264,Illinois,2017,3,68,Jaguars
Jerry Hughes,ED,Texans,TRUE,2022,2,10000000,5000000,https://overthecap.com/player/jerry-hughes/566/,566,"6'2""",254,TCU,2010,1,31,Colts
