ID,OffensiveYardarge,RB,TE,Down,ToGo,TotalToGo,Formation,EPA,RusherStrength,BlockerStrength,DefenderStrength
3821,3,1,1,2,6,27,3-4,-0.351635,0.046262635908784364,0.05799156209254766,0.03357853045608564
3825,-1,1,1,1,10,75,3-4,-0.744225,0.035524105404837164,0.036317746271247967,0.013845268296513474
3831,3,2,1,1,10,61,3-4,-0.105442,0.035524105404837164,0.036317746271247967,0.01513169622608311
3838,2,1,2,1,10,55,3-4,-0.249619,0.046262635908784364,0.05799156209254766,0.03381798853627857
3842,17,1,2,3,1,66,3-4,1.46398,0.035524105404837164,0.036317746271247967,0.013514861175749557
3845,5,1,1,2,11,39,3-4,-0.02312,0.035524105404837164,0.036317746271247967,0.015683163408962912
3851,-2,1,2,1,10,73,3-4,-0.909753,0.046262635908784364,0.05799156209254766,0.02810636783924313
3855,1,1,1,2,3,67,3-4,-0.796012,0.035524105404837164,0.036317746271247967,0.013136179087979444
3860,16,1,1,2,10,50,4-3,1.444968,0.046262635908784364,0.05799156209254766,0.02723101019527773
3861,-1,1,1,1,10,34,3-4,-0.581547,0.046262635908784364,0.05799156209254766,0.02723101019527773
3862,9,1,1,2,11,35,3-4,0.216272,0.046262635908784364,0.05799156209254766,0.02723101019527773
3863,26,1,2,3,2,26,3-4,2.993081,0.046262635908784364,0.05799156209254766,0.02723101019527773
3874,5,1,1,1,10,79,3-4,0.042555,0.035524105404837164,0.036317746271247967,0.01578159164306022
3878,6,1,1,2,4,50,3-4,0.620006,0.035524105404837164,0.036317746271247967,0.016495532680184298
3884,4,1,1,3,2,73,3-4,0.947606,0.046262635908784364,0.05799156209254766,0.04167740949730993
3885,6,1,1,1,10,69,3-4,0.296596,0.046262635908784364,0.05799156209254766,0.0298211023624535
3886,10,1,1,2,4,63,3-4,0.52074,0.046262635908784364,0.05799156209254766,0.0298211023624535
3892,3,1,2,1,10,30,3-4,-0.154379,0.035524105404837164,0.036317746271247967,0.016495532680184298
3896,3,1,1,2,4,79,3-4,0.112163,0.046262635908784364,0.05799156209254766,0.03759141354712828
3897,2,1,1,3,1,76,4-3,0.347825,0.046262635908784364,0.05799156209254766,0.03759141354712828
3901,2,1,1,2,16,66,3-4,-1.150758,0.046262635908784364,0.05799156209254766,0.037137337956678014
3914,-1,1,1,1,10,75,3-4,-0.78828,0.046262635908784364,0.05799156209254766,0.0298211023624535
3920,3,1,3,2,2,72,3-4,-0.176087,0.046262635908784364,0.05799156209254766,0.03759141354712828
3921,3,1,1,1,10,69,3-4,-0.186151,0.046262635908784364,0.05799156209254766,0.04167740949730993
3922,10,1,2,2,7,66,3-4,0.82612,0.046262635908784364,0.05799156209254766,0.04167740949730993
3923,2,1,2,1,10,56,3-4,-0.234484,0.046262635908784364,0.05799156209254766,0.03759141354712828
3924,1,1,1,2,8,54,3-4,-0.605444,0.046262635908784364,0.05799156209254766,0.02810636783924313
3931,3,1,1,1,10,35,3-4,-0.214924,0.035524105404837164,0.036317746271247967,0.019268974785103952
3937,1,1,1,1,10,75,3-4,-0.517927,0.030967027012518366,0.03549909671984428,0.0290474732650842
3938,13,1,1,2,9,74,3-4,1.385451,0.030967027012518366,0.03549909671984428,0.033705086498324786
3943,2,1,2,1,10,67,4-3,-0.310702,0.023141448544722432,0.04219553610623163,0.022230014707089372
3944,3,1,2,2,8,65,4-3,-0.444866,0.023141448544722432,0.04219553610623163,0.022230014707089372
3946,2,2,1,1,10,77,3-4,-0.419419,0.030967027012518366,0.03549909671984428,0.032368590232508154
3949,10,1,2,1,10,48,4-3,0.4612,0.023141448544722432,0.04219553610623163,0.027568775713769395
3950,4,1,1,1,10,38,4-3,-0.163672,0.023141448544722432,0.04219553610623163,0.028173685589556925
3953,1,1,1,1,10,60,3-4,-0.397232,0.030967027012518366,0.03549909671984428,0.02654683819078545
3956,3,1,1,4,1,51,3-4,2.048903,0.030967027012518366,0.03549909671984428,0.022652751421497995
3957,36,1,1,1,10,48,3-4,2.081816,0.030967027012518366,0.03549909671984428,0.01844981587757098
3962,7,1,1,1,10,61,4-3,0.301773,0.023141448544722432,0.04219553610623163,0.010374474866094356
3968,1,1,2,1,10,60,0-0,-0.397232,0.030967027012518366,0.03549909671984428,0.032912777682837804
3978,3,1,2,2,2,67,4-3,-0.15792900000000001,0.023141448544722432,0.04219553610623163,0.028304300046844366
3980,4,1,2,1,10,48,4-3,-0.081958,0.023141448544722432,0.04219553610623163,0.022230014707089372
3981,10,1,2,2,6,44,3-4,1.164648,0.023141448544722432,0.04219553610623163,0.022230014707089372
3982,1,1,1,1,10,27,4-3,-0.329715,0.023141448544722432,0.04219553610623163,0.022230014707089372
3983,11,1,1,2,9,26,4-3,1.038677,0.023141448544722432,0.04219553610623163,0.022230014707089372
3990,3,1,1,1,10,53,3-4,-0.181521,0.030967027012518366,0.03549909671984428,0.033705086498324786
3991,11,1,1,2,7,50,3-4,0.935032,0.030967027012518366,0.03549909671984428,0.023710479384679985
3992,0,1,1,1,10,39,3-4,-0.553037,0.030967027012518366,0.03549909671984428,0.023710479384679985
4003,4,1,2,1,5,64,4-3,0.46623,0.023141448544722432,0.04219553610623163,0.007539129423984105
4004,2,1,2,2,1,60,4-3,-0.246537,0.023141448544722432,0.04219553610623163,0.007539129423984105
4005,3,1,1,1,10,58,3-4,-0.117249,0.023141448544722432,0.04219553610623163,0.035331564245714306
4012,9,1,1,1,10,45,3-4,0.574921,0.030967027012518366,0.03549909671984428,0.02313292998957139
4013,8,1,1,2,11,46,3-4,0.322645,0.030967027012518366,0.03549909671984428,0.028499403396040533
4014,2,1,1,3,3,38,3-4,-1.22717,0.030967027012518366,0.03549909671984428,0.028499403396040533
4015,9,2,2,4,1,36,4-3,2.6974,0.030967027012518366,0.03549909671984428,0.02696406919865983
4016,3,1,1,1,10,27,3-4,-0.153488,0.030967027012518366,0.03549909671984428,0.02696406919865983
4022,1,1,3,1,10,75,4-3,-0.491758,0.023141448544722432,0.04219553610623163,0.01567227670495894
4023,6,1,1,2,9,74,3-4,0.076428,0.023141448544722432,0.04219553610623163,0.014645483671438373
4026,4,1,2,2,5,75,3-4,0.120915,0.030967027012518366,0.03549909671984428,0.03122851933992537
