PlayerId,Player,RosterPosition,RunDefSnaps,RunDefPoints,PassRushSnaps,PassRushPoints,PassCovSnaps,PassCovPoints,RunDefPPS,PassRushPPS,PassCovPPS,RunDefTRUE,PassRushTRUE,PassCovTRUE
3569,Jonathan Jones,CB,329,15,5,0,540,34,0.04559270516717325,0,0.06296296296296296,0.04345337677203486,0,0.06178905566399676
8548,Jonathon Cooper,LB,174,2,183,6,58,1,0.011494252873563218,0.03278688524590164,0.017241379310344827,0.009816643159379407,0.02839263549855193,0.0068867252434101165
1655,Chris Banjo,S,38,3,1,0,31,0,0.07894736842105263,0,0,0.017587164455414996,0,0
7900,Bravvion Roy,DT,136,1,149,3,3,6,0.007352941176470588,0.020134228187919462,2,0.005754908598510495,0.016343692870201095,0.003591380686352753
9116,Jermaine Johnson II,DE,151,5,143,4,5,0,0.033112582781456956,0.027972027972027972,0,0.027010589582140816,0.022350734604563927,0
4251,Yannick Ngakoue,DE,276,1,408,19,3,0,0.0036231884057971015,0.04656862745098039,0,0.0033884987477287238,0.045103332712716444,0
3242,Shelby Harris,DT,209,9,329,4,1,0,0.0430622009569378,0.0121580547112462,0,0.03847412558805482,0.011587567139209297,0
7814,Kamren Curl,S,278,13,25,1,388,14,0.046762589928057555,0.04,0.03608247422680412,0.043773164409776896,0.004424778761061947,0.03483569761177949
6469,Isaiah Oliver,CB,140,6,15,3,178,8,0.04285714285714286,0.2,0.0449438202247191,0.03395311236863379,0.008587786259541985,0.038630568064673645
9079,Markquese Bell,S,11,-1,1,0,9,1,-0.09090909090909091,0,0.1111111111111111,-0.0021434138737334374,0,0.001768172888015717
7297,Del'Shawn Phillips,LB,0,NA,1,0,0,NA,NA,0,NA,NA,0,NA
9058,Nate Landman,LB,1,0,4,1,13,0,0,0.25,0,0,7.968127490039841e-4,0
7101,Ryan Connelly,LB,8,0,2,0,4,0,0,0,0,0,0,0
7261,Mike Edwards,S,285,12,37,2,454,2,0.042105263157894736,0.05405405405405406,0.004405286343612335,0.03953300196509074,0.011551670309085233,0.004291723779363804
3896,Jalen Ramsey,CB,412,30,33,6,592,21,0.07281553398058252,0.18181818181818182,0.03547297297297297,0.0705656671766882,0.032342371773930095,0.03491585593277462
7385,David Long Jr,CB,80,1,3,0,194,0,0.0125,0,0,0.006968641114982578,0,0
