ID,OffensiveYardarge,Down,ToGo,TotalToGo,Formation,EPA,ScramblerStrength,BlockerStrength,DefenderStrength
18576,9,3,8,48,3-4,1.667191,0.007066130927046504,0.042331760004245836,0.017114456485376357
18578,5,2,14,43,3-4,-0.456412,0.007066130927046504,0.042331760004245836,0.013691565188301088
18591,0,2,10,40,4-3,-0.835702,0.0190038838273121,0.04132343770290404,0.018294741085933673
18614,5,1,20,28,3-4,0.315654,0.007066130927046504,0.042331760004245836,0.016364922134140016
18620,2,1,10,75,4-3,-0.376269,0.0190038838273121,0.04132343770290404,0.018333203423724343
18676,8,3,7,52,3-4,1.569677,0.009871877969661443,0.036718727402598135,0.023181653402339367
18760,22,3,11,59,3-4,2.921211,0.030967027012518366,0.03549909671984428,0.022507139039407546
18814,6,2,3,22,4-3,0.428189,0.04024106073619201,0.03986718748264072,0.008915800005869766
18839,2,1,10,39,3-4,-0.367985,0.030967027012518366,0.03549909671984428,0.03432966887838651
18878,6,1,10,36,3-4,0.179661,0.030967027012518366,0.03549909671984428,0.035094728995422854
18967,4,2,14,38,4-3,-0.219947,0.005826642007296648,0.031765010644784576,0.016300499160675833
19084,23,1,10,45,4-3,1.186121,0.046262635908784364,0.05799156209254766,0.027846709665011758
19125,6,1,10,75,3-4,0.3279,0.013113629576540367,0.029233425629286713,0.024622691761783718
19155,6,2,9,24,3-4,0.126252,0.013113629576540367,0.029233425629286713,0.026570195695980032
19269,4,3,5,59,0-0,-0.648581,0.01625963808332278,0.0361047542210841,0.032603073203646186
19309,2,1,10,52,4-3,-0.307684,0.01625963808332278,0.0361047542210841,0.025447723618221566
19311,7,3,1,43,4-3,0.469907,0.01625963808332278,0.0361047542210841,0.031026490956294242
19394,1,2,6,58,4-3,-0.596739,0.034504702145227065,0.03653071949347159,0.0058935679163975956
19614,2,2,9,36,3-4,-0.276023,0.0656582180798903,0.040371172852227945,0.01646751618928885
19703,7,2,8,62,3-4,0.524497,0.043873864767647694,0.039822578434078174,0.017433308268570376
19713,6,1,10,57,0-0,0.123283,0.0656582180798903,0.040371172852227945,0.01646751618928885
19716,16,1,10,33,0-0,0.976759,0.0656582180798903,0.040371172852227945,0.006048104485097418
19761,11,3,6,43,3-4,1.630763,0.03191924748466482,0.034528580581803595,0.028223455013356585
19768,4,1,10,59,3-4,-0.049685,0.03191924748466482,0.034528580581803595,0.029817734844364986
20035,4,2,3,68,3-4,0.119601,0.009620583780923406,0.034712080305243136,0.018741489062654125
20046,3,1,10,61,4-3,-0.128216,0.009620583780923406,0.034712080305243136,0.027787530170601808
20120,21,2,10,44,3-4,1.564308,0.04024106073619201,0.03986718748264072,0.0014266810023984783
20134,5,2,6,38,4-3,0.276349,0.04024106073619201,0.03986718748264072,0.002108483545559782
20158,5,2,10,48,4-3,-0.269461,0.04024106073619201,0.03986718748264072,0.005258476349937213
20197,8,2,9,74,4-3,0.558409,0.04024106073619201,0.03986718748264072,0.0064518293195412885
20292,8,1,10,49,0-0,0.400799,0.034504702145227065,0.03653071949347159,0.02781434662957219
20298,5,2,9,74,3-4,-0.056265,0.03191924748466482,0.034528580581803595,0.013914702927848395
20528,2,1,10,75,3-4,-0.359615,0.015147672864145013,0.03651305666637595,0.036090435708350695
20577,6,2,7,44,3-4,0.438085,0.015147672864145013,0.03651305666637595,0.02018167321227358
20634,17,1,10,48,3-4,1.006547,0.030967027012518366,0.03549909671984428,0.029689319312359862
20774,8,1,10,75,3-4,0.801611,0.020395248825219717,0.05300431051629475,0.015340464562132887
20778,10,3,10,61,0-0,2.102131,0.020395248825219717,0.05300431051629475,0.019572916591597978
20802,11,1,10,29,3-4,0.660016,0.020395248825219717,0.05300431051629475,0.028913907235600087
20825,12,2,10,25,3-4,1.032884,0.020395248825219717,0.05300431051629475,0.028913907235600087
20906,5,3,11,76,0-0,-0.708897,0.0047349631703156175,0.02971657026358872,0.016135235982972344
20961,4,1,10,29,0-0,-0.07216,0.0047349631703156175,0.02971657026358872,0.007208773488857612
20974,2,2,10,75,4-3,-0.472205,0.04686992018389902,0.048033463686989276,0.010786819789023178
20975,3,3,8,73,3-4,-0.991735,0.04686992018389902,0.048033463686989276,0.02360378840443516
21074,6,3,7,72,4-3,-0.511364,0.007066130927046504,0.042331760004245836,0.011853977342424823
21111,13,2,10,64,3-4,1.26998,0.03796216075595333,0.03446802007773319,0.030118220647639374
21155,4,2,8,58,3-4,-0.235478,0.03796216075595333,0.03446802007773319,0.027547166962605136
21157,13,1,10,42,3-4,0.675981,0.03796216075595333,0.03446802007773319,0.02578501237821118
21208,4,3,4,55,0-0,0.954173,0.02730564513909665,0.03466522418023544,0.03134995244049478
21396,6,3,6,28,0-0,1.276379,0.009620583780923406,0.034712080305243136,0.01640874672730884
21431,23,1,10,75,0-0,1.303375,0.043873864767647694,0.039822578434078174,0.0237415065830427
21478,6,2,4,58,3-4,0.273651,0.03386908499876763,0.03974394314988115,0.03100961328017658
21516,7,2,5,70,3-4,0.560085,0.02954692254945959,0.037711463390559655,0.019775381789539165
21569,18,2,17,54,3-4,1.819178,0.03386908499876763,0.03974394314988115,0.016655090625951323
21616,6,1,10,69,3-4,0.296596,0.0656582180798903,0.040371172852227945,0.018710715757178687
21618,10,1,10,54,3-4,0.545457,0.0656582180798903,0.040371172852227945,0.02354281018869022
21625,13,3,5,55,4-3,1.617648,0.01625963808332278,0.0361047542210841,0.02883786070821191
21644,10,3,9,74,0-0,1.791361,0.01625963808332278,0.0361047542210841,0.01642656805792748
21712,4,1,10,61,4-3,-0.020287,0.01625963808332278,0.0361047542210841,0.024710633531975026
21744,10,3,11,65,4-3,0.352833,0.03732296859373035,0.03967516837635983,0.02302870560217991
21814,9,2,10,43,4-3,0.625656,0.03732296859373035,0.03967516837635983,0.023561434367935296
21824,1,2,3,32,4-3,-0.382706,0.03732296859373035,0.03967516837635983,0.023199519188176816
21845,24,3,10,75,0-0,2.710555,0.046262635908784364,0.05799156209254766,0.029707670594819675
